transaction_id,date,amount,description,company_name
466I8O6E,Thu Mar 13 23:31:21 IST 2025,793.80,Transaction from BKC Mumbai branch,Apple India
D2CY2R7R,Thu Mar 13 23:31:21 IST 2025,483.76,Transaction from BKC Mumbai branch,Apple India
O39SGIOQ,Thu Mar 13 23:31:21 IST 2025,912.47,Transaction from BKC Mumbai branch,Apple India
5WSIRXM2,Thu Mar 13 23:31:21 IST 2025,494.03,Transaction from BKC Mumbai branch,Apple India
J6U9N433,Thu Mar 13 23:31:21 IST 2025,191.09,Transaction from BKC Mumbai branch,Apple India
2XESPXDG,Thu Mar 13 23:31:21 IST 2025,955.99,Transaction from BKC Mumbai branch,Apple India
H2I15K9F,Thu Mar 13 23:31:21 IST 2025,703.75,Transaction from BKC Mumbai branch,Apple India
P08I18T5,Thu Mar 13 23:31:21 IST 2025,919.28,Transaction from BKC Mumbai branch,Apple India
JP2HG1GO,Thu Mar 13 23:31:21 IST 2025,259.66,Transaction from BKC Mumbai branch,Apple India
28EXZM6Q,Thu Mar 13 23:31:21 IST 2025,572.31,Transaction from BKC Mumbai branch,Apple India
ULAQZ61S,Thu Mar 13 23:31:21 IST 2025,111.29,Transaction from BKC Mumbai branch,Apple India
PIX180TM,Thu Mar 13 23:31:21 IST 2025,228.59,Transaction from BKC Mumbai branch,Apple India
AUJ2NC7G,Thu Mar 13 23:31:21 IST 2025,590.88,Transaction from BKC Mumbai branch,Apple India
4R8WOHPO,Thu Mar 13 23:31:21 IST 2025,801.20,Transaction from BKC Mumbai branch,Apple India
NEP1SE84,Thu Mar 13 23:31:21 IST 2025,286.27,Transaction from BKC Mumbai branch,Apple India
YJLOKV0Q,Thu Mar 13 23:31:21 IST 2025,601.69,Transaction from BKC Mumbai branch,Apple India
13PT00WK,Thu Mar 13 23:31:21 IST 2025,543.38,Transaction from BKC Mumbai branch,Apple India
XDK1WQJV,Thu Mar 13 23:31:21 IST 2025,555.99,Transaction from BKC Mumbai branch,Apple India
NOFO26RT,Thu Mar 13 23:31:21 IST 2025,503.72,Transaction from BKC Mumbai branch,Apple India
S4UC9VOX,Thu Mar 13 23:31:21 IST 2025,983.62,Transaction from BKC Mumbai branch,Apple India
