transaction_id,date,amount,description,company_name
3JCPRHLJ,Thu Mar 13 23:44:13 IST 2025,441.26,Transaction from BKC Mumbai branch,Apple India
KF2S3IMB,Thu Mar 13 23:44:13 IST 2025,56.25,Transaction from BKC Mumbai branch,Apple India
YICE3ECW,Thu Mar 13 23:44:13 IST 2025,762.86,Transaction from BKC Mumbai branch,Apple India
EWISV4CY,Thu Mar 13 23:44:13 IST 2025,695.29,Transaction from BKC Mumbai branch,Apple India
51K140WY,Thu Mar 13 23:44:13 IST 2025,851.78,Transaction from BKC Mumbai branch,Apple India
Q21T6S8J,Thu Mar 13 23:44:13 IST 2025,635.85,Transaction from BKC Mumbai branch,Apple India
1AZJ11L5,Thu Mar 13 23:44:13 IST 2025,653.23,Transaction from BKC Mumbai branch,Apple India
SAXBQL9I,Thu Mar 13 23:44:13 IST 2025,465.84,Transaction from BKC Mumbai branch,Apple India
AEKJJKS9,Thu Mar 13 23:44:13 IST 2025,979.56,Transaction from BKC Mumbai branch,Apple India
M8EH7POS,Thu Mar 13 23:44:13 IST 2025,825.12,Transaction from BKC Mumbai branch,Apple India
WQQ7M7YJ,Thu Mar 13 23:44:13 IST 2025,418.65,Transaction from BKC Mumbai branch,Apple India
72PZBA69,Thu Mar 13 23:44:13 IST 2025,441.00,Transaction from BKC Mumbai branch,Apple India
8JPBGMUW,Thu Mar 13 23:44:13 IST 2025,199.33,Transaction from BKC Mumbai branch,Apple India
TUXYFOQT,Thu Mar 13 23:44:13 IST 2025,996.10,Transaction from BKC Mumbai branch,Apple India
UNBIS9LN,Thu Mar 13 23:44:13 IST 2025,651.73,Transaction from BKC Mumbai branch,Apple India
3F0GS436,Thu Mar 13 23:44:13 IST 2025,824.29,Transaction from BKC Mumbai branch,Apple India
VE7B75HQ,Thu Mar 13 23:44:13 IST 2025,16.32,Transaction from BKC Mumbai branch,Apple India
E8QUMDR3,Thu Mar 13 23:44:13 IST 2025,353.05,Transaction from BKC Mumbai branch,Apple India
K5UCHIGC,Thu Mar 13 23:44:13 IST 2025,334.16,Transaction from BKC Mumbai branch,Apple India
Z73CY2SI,Thu Mar 13 23:44:13 IST 2025,941.58,Transaction from BKC Mumbai branch,Apple India
