transaction_id,date,amount,description,company_name
V2O34VRS,Thu Mar 13 23:26:03 IST 2025,97.31,Transaction from BKC Mumbai branch,Apple India
T3EYHSPG,Thu Mar 13 23:26:03 IST 2025,669.01,Transaction from BKC Mumbai branch,Apple India
IIRQ1W2I,Thu Mar 13 23:26:03 IST 2025,613.19,Transaction from BKC Mumbai branch,Apple India
17CHCP7O,Thu Mar 13 23:26:03 IST 2025,80.36,Transaction from BKC Mumbai branch,Apple India
E3RLH4L7,Thu Mar 13 23:26:03 IST 2025,807.33,Transaction from BKC Mumbai branch,Apple India
624P0AGY,Thu Mar 13 23:26:03 IST 2025,115.19,Transaction from BKC Mumbai branch,Apple India
P4MBV5ZQ,Thu Mar 13 23:26:03 IST 2025,886.15,Transaction from BKC Mumbai branch,Apple India
AA28PQL5,Thu Mar 13 23:26:03 IST 2025,603.76,Transaction from BKC Mumbai branch,Apple India
ZVKFCAW5,Thu Mar 13 23:26:03 IST 2025,833.86,Transaction from BKC Mumbai branch,Apple India
PD7V7NTC,Thu Mar 13 23:26:03 IST 2025,632.20,Transaction from BKC Mumbai branch,Apple India
P3LSWXAC,Thu Mar 13 23:26:03 IST 2025,443.69,Transaction from BKC Mumbai branch,Apple India
4BGUVR3M,Thu Mar 13 23:26:03 IST 2025,137.92,Transaction from BKC Mumbai branch,Apple India
2ZXZCDHV,Thu Mar 13 23:26:03 IST 2025,612.09,Transaction from BKC Mumbai branch,Apple India
6HKRLUPV,Thu Mar 13 23:26:03 IST 2025,509.18,Transaction from BKC Mumbai branch,Apple India
74QBHH9N,Thu Mar 13 23:26:03 IST 2025,692.69,Transaction from BKC Mumbai branch,Apple India
BXT1YTTW,Thu Mar 13 23:26:03 IST 2025,869.42,Transaction from BKC Mumbai branch,Apple India
I5N47U39,Thu Mar 13 23:26:03 IST 2025,792.26,Transaction from BKC Mumbai branch,Apple India
QWBH2VFN,Thu Mar 13 23:26:03 IST 2025,321.01,Transaction from BKC Mumbai branch,Apple India
ADYU7G7O,Thu Mar 13 23:26:03 IST 2025,163.37,Transaction from BKC Mumbai branch,Apple India
LQU42VF6,Thu Mar 13 23:26:03 IST 2025,866.78,Transaction from BKC Mumbai branch,Apple India
